"","lat","lon","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"215","1650","-3375",13.2,13.8,15.3,34.8,71.7,93.6,92.7,83.7,32.1,17.7,9.3,8.7
"216","1725","-3375",17.7,19.2,17.1,29.7,75.6,93.6,105,97.8,40.8,20.7,13.8,14.1
"217","1800","-3375",20.1,24.3,22.8,28.8,66,79.5,107.4,96,49.8,27.9,19.8,19.5
"218","1875","-3375",21,23.1,27,30,45.9,71.7,105.9,88.2,50.7,36.3,23.1,22.5
"219","1950","-3375",19.2,19.2,27,26.7,29.1,54.3,78,69.3,45.9,38.7,25.2,23.7
"220","2025","-3375",19.2,17.1,23.7,23.1,18.6,44.1,56.4,57.3,50.1,38.4,28.2,22.2
"221","2100","-3375",14.4,12.3,11.7,13.2,12.3,24.3,28.2,33.9,38.1,25.5,19.5,13.2
"222","2175","-3375",13.8,12.9,10.8,12.3,13.2,20.4,25.8,36.6,35.7,25.8,18.9,11.7
"223","2250","-3375",9.3,9.6,9.6,11.4,12,16.2,20.4,35.4,32.7,24.3,13.8,8.4
"224","-2700","-3262.5",0,0,0,0,0,0,0,0,0,0,0,0
"225","-2625","-3262.5",2.1,3,3.9,3.6,4.5,4.2,3.6,3,2.7,3,2.4,2.4
"226","-2550","-3262.5",3.9,5.1,6,6,6.9,6.6,6,5.4,5.4,4.8,4.8,4.8
"227","-2475","-3262.5",9,11.7,15.3,15.3,15.3,15.3,14.1,11.7,10.8,11.7,9.9,8.7
"228","-2400","-3262.5",9,13.5,19.8,21.9,19.2,18.9,19.5,15,13.5,13.5,10.5,9.3
"229","-2325","-3262.5",32.4,46.5,58.2,66.6,60.9,60.9,62.1,45.3,40.5,41.4,34.2,31.2
"230","750.00 -","3262.5",27.6,33.6,10.2,1.5,0.3,0.6,2.4,3.6,26.4,48.9,26.7,31.2
"231","825.00 -","3262.5",58.8,66.3,31.5,9.6,1.8,2.4,5.4,19.2,62.1,56.4,41.7,45
"232","900.00 -","3262.5",88.2,101.1,53.7,24,6,14.7,33.3,53.7,65.7,58.8,49.2,50.7
"233","975.00 -","3262.5",64.5,76.2,45.3,24.6,6.9,16.8,49.8,59.7,51.9,45,31.8,36.3
"234","1050","-3262.5",71.1,91.5,66.3,45.6,19.2,31.2,69.9,66,70.2,56.7,38.4,46.2
"235","1125","-3262.5",74.4,93.9,81.3,70.2,42.3,39.6,54,49.5,71.7,64.2,51,61.2
"236","1200","-3262.5",55.5,66.9,67.2,72.6,57.9,44.1,33.3,28.8,56.4,53.7,44.4,51.9
"237","1275","-3262.5",57.3,66.6,72,87.3,88.2,67.5,38.4,30,64.5,62.1,51.3,59.7
"238","1350","-3262.5",56.4,66,72.9,86.4,106.5,90.3,50.7,35.7,63.3,61.2,54.9,61.5
"239","1425","-3262.5",46.8,53.1,60,83.1,117.6,103.2,65.1,43.8,57,54.9,44.1,46.8
"240","1500","-3262.5",13.2,14.7,21.9,47.4,98.4,86.7,70.8,57.6,36,25.8,11.4,9.3
"241","1575","-3262.5",13.8,14.7,18.9,43.2,90.6,88.5,78.6,78,38.7,24.3,10.5,9.3
"242","1650","-3262.5",19.8,18.9,18.6,38.4,79.5,91.8,89.4,97.5,46.2,24.3,14.7,13.8
"243","1725","-3262.5",21.9,25.5,23.4,33.6,73.5,79.5,87.6,94.2,50.4,28.5,21.3,21
"244","1800","-3262.5",21.9,24.6,24.9,27.3,54.6,64.5,89.7,83.1,53.4,33.9,23.7,23.4
"245","1875","-3262.5",20.7,21.3,27,28.2,35.7,60.9,84,71.4,49.8,39.6,24.9,24.3
"246","1950","-3262.5",17.1,16.8,25.8,26.4,25.5,54.9,67.2,63.3,46.2,40.2,25.2,22.2
"247","2025","-3262.5",13.8,12.3,17.7,18.9,15.6,38.7,44.4,44.7,38.7,29.7,22.2,16.8
